schuljahr;abschlussart;geschlecht;anzahl;anzahl_numerisch
2015/16;mit Fachhochschulreife;weiblich;-;0
2016/17;mit Fachhochschulreife;weiblich;-;0
2017/18;mit Fachhochschulreife;weiblich;-;0
2018/19;mit Fachhochschulreife;weiblich;-;0
2019/20;mit Fachhochschulreife;weiblich;-;0
2020/21;mit Fachhochschulreife;weiblich;-;0
2021/22;mit Fachhochschulreife;weiblich;-;0
2022/23;mit Fachhochschulreife;weiblich;-;0
2023/24;mit Fachhochschulreife;weiblich;-;0
2024/25;mit Fachhochschulreife;weiblich;-;0
1994/95;mit Fachhochschulreife;Insgesamt;-;0
1995/96;mit Fachhochschulreife;Insgesamt;-;0
1996/97;mit Fachhochschulreife;Insgesamt;-;0
1997/98;mit Fachhochschulreife;Insgesamt;-;0
1998/99;mit Fachhochschulreife;Insgesamt;-;0
1999/00;mit Fachhochschulreife;Insgesamt;-;0
2000/01;mit Fachhochschulreife;Insgesamt;-;0
2001/02;mit Fachhochschulreife;Insgesamt;-;0
2002/03;mit Fachhochschulreife;Insgesamt;-;0
2003/04;mit Fachhochschulreife;Insgesamt;-;0
2004/05;mit Fachhochschulreife;Insgesamt;-;0
2005/06;mit Fachhochschulreife;Insgesamt;-;0
2006/07;mit Fachhochschulreife;Insgesamt;-;0
2007/08;mit Fachhochschulreife;Insgesamt;-;0
2008/09;mit Fachhochschulreife;Insgesamt;-;0
2009/10;mit Fachhochschulreife;Insgesamt;-;0
2010/11;mit Fachhochschulreife;Insgesamt;-;0
2011/12;mit Fachhochschulreife;Insgesamt;-;0
2012/13;mit Fachhochschulreife;Insgesamt;-;0
2013/14;mit Fachhochschulreife;Insgesamt;-;0
2014/15;mit Fachhochschulreife;Insgesamt;-;0
2015/16;mit Fachhochschulreife;Insgesamt;-;0
2016/17;mit Fachhochschulreife;Insgesamt;-;0
2017/18;mit Fachhochschulreife;Insgesamt;-;0
2018/19;mit Fachhochschulreife;Insgesamt;-;0
2019/20;mit Fachhochschulreife;Insgesamt;-;0
2020/21;mit Fachhochschulreife;Insgesamt;-;0
2021/22;mit Fachhochschulreife;Insgesamt;-;0
2022/23;mit Fachhochschulreife;Insgesamt;-;0
2023/24;mit Fachhochschulreife;Insgesamt;-;0
2024/25;mit Fachhochschulreife;Insgesamt;-;0
1994/95;mit allgemeiner Hochschulreife;männlich;x;
1995/96;mit allgemeiner Hochschulreife;männlich;x;
1996/97;mit allgemeiner Hochschulreife;männlich;x;
1997/98;mit allgemeiner Hochschulreife;männlich;x;
1998/99;mit allgemeiner Hochschulreife;männlich;x;
1999/00;mit allgemeiner Hochschulreife;männlich;x;
2000/01;mit allgemeiner Hochschulreife;männlich;x;
2001/02;mit allgemeiner Hochschulreife;männlich;x;
2002/03;mit allgemeiner Hochschulreife;männlich;x;
2003/04;mit allgemeiner Hochschulreife;männlich;x;
2004/05;mit allgemeiner Hochschulreife;männlich;x;
2005/06;mit allgemeiner Hochschulreife;männlich;x;
2006/07;mit allgemeiner Hochschulreife;männlich;x;
2007/08;mit allgemeiner Hochschulreife;männlich;x;
2008/09;mit allgemeiner Hochschulreife;männlich;x;
2009/10;mit allgemeiner Hochschulreife;männlich;x;
2010/11;mit allgemeiner Hochschulreife;männlich;x;
2011/12;mit allgemeiner Hochschulreife;männlich;x;
2012/13;mit allgemeiner Hochschulreife;männlich;x;
2013/14;mit allgemeiner Hochschulreife;männlich;x;
2014/15;mit allgemeiner Hochschulreife;männlich;x;
2015/16;mit allgemeiner Hochschulreife;männlich;x;
2016/17;mit allgemeiner Hochschulreife;männlich;x;
2017/18;mit allgemeiner Hochschulreife;männlich;x;
2018/19;mit allgemeiner Hochschulreife;männlich;x;
2019/20;mit allgemeiner Hochschulreife;männlich;x;
2020/21;mit allgemeiner Hochschulreife;männlich;x;
2021/22;mit allgemeiner Hochschulreife;männlich;x;
2022/23;mit allgemeiner Hochschulreife;männlich;x;
2023/24;mit allgemeiner Hochschulreife;männlich;x;
2024/25;mit allgemeiner Hochschulreife;männlich;x;
1994/95;mit allgemeiner Hochschulreife;weiblich;x;
1995/96;mit allgemeiner Hochschulreife;weiblich;x;
1996/97;mit allgemeiner Hochschulreife;weiblich;x;
1997/98;mit allgemeiner Hochschulreife;weiblich;x;
1998/99;mit allgemeiner Hochschulreife;weiblich;x;
1999/00;mit allgemeiner Hochschulreife;weiblich;x;
2000/01;mit allgemeiner Hochschulreife;weiblich;x;
2001/02;mit allgemeiner Hochschulreife;weiblich;x;
2002/03;mit allgemeiner Hochschulreife;weiblich;x;
2003/04;mit allgemeiner Hochschulreife;weiblich;x;
2004/05;mit allgemeiner Hochschulreife;weiblich;x;
2005/06;mit allgemeiner Hochschulreife;weiblich;x;
2006/07;mit allgemeiner Hochschulreife;weiblich;x;
2007/08;mit allgemeiner Hochschulreife;weiblich;x;
2008/09;mit allgemeiner Hochschulreife;weiblich;x;
2009/10;mit allgemeiner Hochschulreife;weiblich;x;
2010/11;mit allgemeiner Hochschulreife;weiblich;x;
2011/12;mit allgemeiner Hochschulreife;weiblich;x;
2012/13;mit allgemeiner Hochschulreife;weiblich;x;
2013/14;mit allgemeiner Hochschulreife;weiblich;x;
2014/15;mit allgemeiner Hochschulreife;weiblich;x;
2015/16;mit allgemeiner Hochschulreife;weiblich;x;
2016/17;mit allgemeiner Hochschulreife;weiblich;x;
2017/18;mit allgemeiner Hochschulreife;weiblich;x;
2018/19;mit allgemeiner Hochschulreife;weiblich;x;
2019/20;mit allgemeiner Hochschulreife;weiblich;x;
2020/21;mit allgemeiner Hochschulreife;weiblich;x;
2021/22;mit allgemeiner Hochschulreife;weiblich;x;
2022/23;mit allgemeiner Hochschulreife;weiblich;x;
2023/24;mit allgemeiner Hochschulreife;weiblich;x;
2024/25;mit allgemeiner Hochschulreife;weiblich;x;
1994/95;mit allgemeiner Hochschulreife;Insgesamt;-;0
1995/96;mit allgemeiner Hochschulreife;Insgesamt;-;0
1996/97;mit allgemeiner Hochschulreife;Insgesamt;-;0
1997/98;mit allgemeiner Hochschulreife;Insgesamt;-;0
1998/99;mit allgemeiner Hochschulreife;Insgesamt;-;0
1999/00;mit allgemeiner Hochschulreife;Insgesamt;-;0
2000/01;mit allgemeiner Hochschulreife;Insgesamt;-;0
2001/02;mit allgemeiner Hochschulreife;Insgesamt;-;0
2002/03;mit allgemeiner Hochschulreife;Insgesamt;-;0
2003/04;mit allgemeiner Hochschulreife;Insgesamt;-;0
2004/05;mit allgemeiner Hochschulreife;Insgesamt;-;0
2005/06;mit allgemeiner Hochschulreife;Insgesamt;-;0
2006/07;mit allgemeiner Hochschulreife;Insgesamt;-;0
2007/08;mit allgemeiner Hochschulreife;Insgesamt;-;0
2008/09;mit allgemeiner Hochschulreife;Insgesamt;-;0
2009/10;mit allgemeiner Hochschulreife;Insgesamt;-;0
2010/11;mit allgemeiner Hochschulreife;Insgesamt;-;0
2011/12;mit allgemeiner Hochschulreife;Insgesamt;-;0
2012/13;mit allgemeiner Hochschulreife;Insgesamt;-;0
2013/14;mit allgemeiner Hochschulreife;Insgesamt;-;0
2014/15;mit allgemeiner Hochschulreife;Insgesamt;-;0
2015/16;mit allgemeiner Hochschulreife;Insgesamt;-;0
2016/17;mit allgemeiner Hochschulreife;Insgesamt;-;0
2017/18;mit allgemeiner Hochschulreife;Insgesamt;-;0
2018/19;mit allgemeiner Hochschulreife;Insgesamt;-;0
2019/20;mit allgemeiner Hochschulreife;Insgesamt;-;0
2020/21;mit allgemeiner Hochschulreife;Insgesamt;-;0
2021/22;mit allgemeiner Hochschulreife;Insgesamt;-;0
