schuljahr,abschlussart,geschlecht,schulart,anzahl
2017/18,ohne Hauptschulabschluss,männlich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2018/19,ohne Hauptschulabschluss,männlich,Grundschulen,-
2018/19,ohne Hauptschulabschluss,männlich,Schularten mit mehreren Bildungsgängen,736
2018/19,ohne Hauptschulabschluss,männlich,Gymnasien,9
2018/19,ohne Hauptschulabschluss,männlich,Förderschulen,929
2018/19,ohne Hauptschulabschluss,männlich,Freie Waldorfschulen,-
2018/19,ohne Hauptschulabschluss,männlich,Gemeinschaftsschulen,-
2018/19,ohne Hauptschulabschluss,männlich,Integrierte Gesamtschulen,-
2018/19,ohne Hauptschulabschluss,männlich,Schulen des zweiten Bildungsweges,x
2018/19,ohne Hauptschulabschluss,männlich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2019/20,ohne Hauptschulabschluss,männlich,Grundschulen,-
2019/20,ohne Hauptschulabschluss,männlich,Schularten mit mehreren Bildungsgängen,563
2019/20,ohne Hauptschulabschluss,männlich,Gymnasien,14
2019/20,ohne Hauptschulabschluss,männlich,Förderschulen,939
2019/20,ohne Hauptschulabschluss,männlich,Freie Waldorfschulen,2
2019/20,ohne Hauptschulabschluss,männlich,Gemeinschaftsschulen,-
2019/20,ohne Hauptschulabschluss,männlich,Integrierte Gesamtschulen,-
2019/20,ohne Hauptschulabschluss,männlich,Schulen des zweiten Bildungsweges,x
2019/20,ohne Hauptschulabschluss,männlich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2020/21,ohne Hauptschulabschluss,männlich,Grundschulen,-
2020/21,ohne Hauptschulabschluss,männlich,Schularten mit mehreren Bildungsgängen,571
2020/21,ohne Hauptschulabschluss,männlich,Gymnasien,127
2020/21,ohne Hauptschulabschluss,männlich,Förderschulen,943
2020/21,ohne Hauptschulabschluss,männlich,Freie Waldorfschulen,6
2020/21,ohne Hauptschulabschluss,männlich,Gemeinschaftsschulen,-
2020/21,ohne Hauptschulabschluss,männlich,Integrierte Gesamtschulen,-
2020/21,ohne Hauptschulabschluss,männlich,Schulen des zweiten Bildungsweges,x
2020/21,ohne Hauptschulabschluss,männlich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2021/22,ohne Hauptschulabschluss,männlich,Grundschulen,-
2021/22,ohne Hauptschulabschluss,männlich,Schularten mit mehreren Bildungsgängen,684
2021/22,ohne Hauptschulabschluss,männlich,Gymnasien,24
2021/22,ohne Hauptschulabschluss,männlich,Förderschulen,989
2021/22,ohne Hauptschulabschluss,männlich,Freie Waldorfschulen,-
2021/22,ohne Hauptschulabschluss,männlich,Gemeinschaftsschulen,-
2021/22,ohne Hauptschulabschluss,männlich,Integrierte Gesamtschulen,-
2021/22,ohne Hauptschulabschluss,männlich,Schulen des zweiten Bildungsweges,x
2021/22,ohne Hauptschulabschluss,männlich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2022/23,ohne Hauptschulabschluss,männlich,Grundschulen,-
2022/23,ohne Hauptschulabschluss,männlich,Schularten mit mehreren Bildungsgängen,652
2022/23,ohne Hauptschulabschluss,männlich,Gymnasien,22
2022/23,ohne Hauptschulabschluss,männlich,Förderschulen,997
2022/23,ohne Hauptschulabschluss,männlich,Freie Waldorfschulen,3
2022/23,ohne Hauptschulabschluss,männlich,Gemeinschaftsschulen,-
2022/23,ohne Hauptschulabschluss,männlich,Integrierte Gesamtschulen,-
2022/23,ohne Hauptschulabschluss,männlich,Schulen des zweiten Bildungsweges,x
2022/23,ohne Hauptschulabschluss,männlich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2023/24,ohne Hauptschulabschluss,männlich,Grundschulen,-
2023/24,ohne Hauptschulabschluss,männlich,Schularten mit mehreren Bildungsgängen,847
2023/24,ohne Hauptschulabschluss,männlich,Gymnasien,13
2023/24,ohne Hauptschulabschluss,männlich,Förderschulen,957
2023/24,ohne Hauptschulabschluss,männlich,Freie Waldorfschulen,1
2023/24,ohne Hauptschulabschluss,männlich,Gemeinschaftsschulen,-
2023/24,ohne Hauptschulabschluss,männlich,Integrierte Gesamtschulen,1
2023/24,ohne Hauptschulabschluss,männlich,Schulen des zweiten Bildungsweges,x
2023/24,ohne Hauptschulabschluss,männlich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2024/25,ohne Hauptschulabschluss,männlich,Grundschulen,-
2024/25,ohne Hauptschulabschluss,männlich,Schularten mit mehreren Bildungsgängen,909
2024/25,ohne Hauptschulabschluss,männlich,Gymnasien,13
2024/25,ohne Hauptschulabschluss,männlich,Förderschulen,998
2024/25,ohne Hauptschulabschluss,männlich,Freie Waldorfschulen,2
2024/25,ohne Hauptschulabschluss,männlich,Gemeinschaftsschulen,-
2024/25,ohne Hauptschulabschluss,männlich,Integrierte Gesamtschulen,-
2024/25,ohne Hauptschulabschluss,männlich,Schulen des zweiten Bildungsweges,x
2024/25,ohne Hauptschulabschluss,männlich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
1994/95,ohne Hauptschulabschluss,weiblich,Grundschulen,-
1994/95,ohne Hauptschulabschluss,weiblich,Schularten mit mehreren Bildungsgängen,826
1994/95,ohne Hauptschulabschluss,weiblich,Gymnasien,368
1994/95,ohne Hauptschulabschluss,weiblich,Förderschulen,816
1994/95,ohne Hauptschulabschluss,weiblich,Freie Waldorfschulen,2
1994/95,ohne Hauptschulabschluss,weiblich,Gemeinschaftsschulen,-
1994/95,ohne Hauptschulabschluss,weiblich,Integrierte Gesamtschulen,-
1994/95,ohne Hauptschulabschluss,weiblich,Schulen des zweiten Bildungsweges,x
1994/95,ohne Hauptschulabschluss,weiblich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
1995/96,ohne Hauptschulabschluss,weiblich,Grundschulen,-
1995/96,ohne Hauptschulabschluss,weiblich,Schularten mit mehreren Bildungsgängen,815
1995/96,ohne Hauptschulabschluss,weiblich,Gymnasien,131
1995/96,ohne Hauptschulabschluss,weiblich,Förderschulen,839
1995/96,ohne Hauptschulabschluss,weiblich,Freie Waldorfschulen,1
1995/96,ohne Hauptschulabschluss,weiblich,Gemeinschaftsschulen,-
1995/96,ohne Hauptschulabschluss,weiblich,Integrierte Gesamtschulen,-
1995/96,ohne Hauptschulabschluss,weiblich,Schulen des zweiten Bildungsweges,x
1995/96,ohne Hauptschulabschluss,weiblich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
1996/97,ohne Hauptschulabschluss,weiblich,Grundschulen,-
1996/97,ohne Hauptschulabschluss,weiblich,Schularten mit mehreren Bildungsgängen,830
1996/97,ohne Hauptschulabschluss,weiblich,Gymnasien,94
1996/97,ohne Hauptschulabschluss,weiblich,Förderschulen,888
1996/97,ohne Hauptschulabschluss,weiblich,Freie Waldorfschulen,5
1996/97,ohne Hauptschulabschluss,weiblich,Gemeinschaftsschulen,-
1996/97,ohne Hauptschulabschluss,weiblich,Integrierte Gesamtschulen,-
1996/97,ohne Hauptschulabschluss,weiblich,Schulen des zweiten Bildungsweges,x
1996/97,ohne Hauptschulabschluss,weiblich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
1997/98,ohne Hauptschulabschluss,weiblich,Grundschulen,-
1997/98,ohne Hauptschulabschluss,weiblich,Schularten mit mehreren Bildungsgängen,852
1997/98,ohne Hauptschulabschluss,weiblich,Gymnasien,30
1997/98,ohne Hauptschulabschluss,weiblich,Förderschulen,1071
1997/98,ohne Hauptschulabschluss,weiblich,Freie Waldorfschulen,3
1997/98,ohne Hauptschulabschluss,weiblich,Gemeinschaftsschulen,-
1997/98,ohne Hauptschulabschluss,weiblich,Integrierte Gesamtschulen,-
1997/98,ohne Hauptschulabschluss,weiblich,Schulen des zweiten Bildungsweges,x
1997/98,ohne Hauptschulabschluss,weiblich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
1998/99,ohne Hauptschulabschluss,weiblich,Grundschulen,-
1998/99,ohne Hauptschulabschluss,weiblich,Schularten mit mehreren Bildungsgängen,1297
1998/99,ohne Hauptschulabschluss,weiblich,Gymnasien,19
1998/99,ohne Hauptschulabschluss,weiblich,Förderschulen,1058
1998/99,ohne Hauptschulabschluss,weiblich,Freie Waldorfschulen,4
1998/99,ohne Hauptschulabschluss,weiblich,Gemeinschaftsschulen,-
1998/99,ohne Hauptschulabschluss,weiblich,Integrierte Gesamtschulen,-
1998/99,ohne Hauptschulabschluss,weiblich,Schulen des zweiten Bildungsweges,x
1998/99,ohne Hauptschulabschluss,weiblich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
1999/00,ohne Hauptschulabschluss,weiblich,Grundschulen,-
1999/00,ohne Hauptschulabschluss,weiblich,Schularten mit mehreren Bildungsgängen,1279
1999/00,ohne Hauptschulabschluss,weiblich,Gymnasien,65
1999/00,ohne Hauptschulabschluss,weiblich,Förderschulen,1130
1999/00,ohne Hauptschulabschluss,weiblich,Freie Waldorfschulen,2
1999/00,ohne Hauptschulabschluss,weiblich,Gemeinschaftsschulen,-
