"id","name","institution_key","abbreviation","owner_id","owner_abbreviation","owner_name","owner_type"
"2027","Oberschule ""Dr. Theodor Neubauer""","4530689","oaos-kirchberg","83","","Stadt Kirchberg","13"
"1905","Oberschule ""Felix Mauersberger""","4530119","oaos-netzschkau","890","","Stadt Netzschkau","13"
"2288","Oberschule ""Frederic Joliot Curie"" Pegau","4430245","oaos-pegau","617","","Stadt Pegau","13"
"1927","Oberschule ""Friedrich Rückert""","4530358","oaos-plauen-rueck","929","","Stadt Plauen","15"
"2097","Oberschule ""G. E. Lessing"" Freital-Potschappel","4330676","oaos-freital-potsch","202","","Stadt Freital","15"
"1006","Oberschule ""Geschwister Scholl""","4530028","oaos-auerbach.v-scholl","925","","Stadt Auerbach/Vogtl.","15"
"2095","Oberschule ""Geschwister Scholl"" Freital-Hainsberg","4330635","oaos-freital-hainsb","202","","Stadt Freital","15"
"108","Oberschule ""Geschwister Scholl"" Krauschwitz","4130399","oaos-krauschwitz","439","","Gemeinde Krauschwitz","12"
"1851","Oberschule ""Gottfried Pabst von Ohain""","4230082","oaos-freiberg-ohain","694","","Stadt Freiberg","15"
"1904","Oberschule ""Gotthold Ephraim Lessing""","4530085","oaos-lengenfeld","887","","Stadt Lengenfeld","13"
"2100","Oberschule ""Hans Poelzig"" Klingenberg","4330726","oaos-klingenberg","186","","Gemeinde Klingenberg","12"
"1860","Oberschule ""Heinrich von Trebra""","4230165","oaos-marienberg","547","","Stadt Marienberg","15"
"945","Oberschule ""Johann Heinrich Pestalozzi""","4231114","oaos-annaberg-pestal","867","","Stadt Annaberg-Buchholz","15"
"7","Oberschule ""Johann Wolfgang von Goethe""","4330940","oaos-heidenau","309","","Stadt Heidenau","13"
"2638","Oberschule ""Johann Wolfgang von Goethe""","4331492","oaos-pirna-goethe","288","","Stadt Pirna","15"
"1001","Oberschule ""Katharina Peters"" Zwönitz","4231072","oaos-zwoenitz","254","","Stadt Zwönitz","13"
"2135","Oberschule ""Korla Awgust Kocor"" Wittichenau","4130506","oaos-wittichenau","5","","Stadt Wittichenau","13"
"2014","Oberschule ""Martin Andersen Nexö""","4231346","oaos-zschopau-nexoe","533","","Stadt Zschopau","15"
"2275","Oberschule ""Maxim Gorki"" Frohburg","4430104","oaos-frohburg","652","","Stadt Frohburg","13"
"399","Oberschule ""Moritz Zimmermann"" Rothenburg","4130258","oaos-rothenburg","421","","Stadt Rothenburg/O.L.","13"
"39","Oberschule ""Siegfried Richter"" Gröditz","4331179","oaos-groeditz","401","","Stadt Gröditz","13"
"2096","Oberschule ""Waldblick"" Freital-Niederhäslich","4330650","oaos-freital-waldbl","202","","Stadt Freital","15"
"2267","Oberschule ""Werner Seelenbinder"" Bad Lausick","4430021","oaos-lausick","489","","Stadt Bad Lausick","13"
"3703","Oberschule - Freie Werkschule Meißen (Schule in freier Trägerschaft)","4331641","faos-meissen-FWERK","1425","FWERK","Miteinander - Freie Werkschule Meißen e. V.","22"
"1890","Oberschule Altendorf","4230389","oaos-chemnitz-altend","873","","Stadt Chemnitz","14"
