"id","name","owner_id","owner_abbreviation","owner_name","owner_type"
"1949","Gerhart-Hauptmann-Schule, Oberschule","777","","Stadt Limbach-Oberfrohna","15"
"1051","Geschwister-Scholl-Oberschule","777","","Stadt Limbach-Oberfrohna","15"
"672","Geschwister-Scholl-Oberschule Roßwein","710","","Stadt Roßwein","13"
"1981","Geschwister-Scholl-Oberschule Schönheide","151","","Gemeinde Schönheide","12"
"2282","Geschwister-Scholl-Schule Liebertwolkwitz - Oberschule der Stadt Leipzig","876","","Stadt Leipzig","14"
"163","Goethe-Oberschule Wilthen","800","","Stadt Wilthen","13"
"1966","Goethe-Schule Breitenbrunn, Oberschule","167","","Gemeinde Breitenbrunn/Erzgeb.","12"
"775","Goetheschule Mügeln, Oberschule","238","","Stadt Mügeln","13"
"2144","Gottlieb-Daimler-Oberschule Bautzen","834","","Stadt Bautzen","15"
"4057","gruuna Schule -Freie Waldorfschule (Schule in freier Trägerschaft)","6146","GRUU","gruuna Schule gGmbH","20"
"4157","Gut Loberthal - Handlungspädagogische Waldorfschule (Schule in freier Trägerschaft)","6177","LOB","Loberthal e.V.","22"
"2003","Heiner-Müller-Schule, Oberschule Eppendorf","699","","Gemeinde Eppendorf","12"
"983","Heinrich-Heine-Oberschule","153","","Stadt Lauter-Bernsbach","13"
"2195","Heinrich-Pestalozzi Oberschule Löbau","342","","Stadt Löbau","15"
"2269","Heinrich-Pestalozzi-Schule - Oberschule der Stadt Leipzig","876","","Stadt Leipzig","14"
"1972","Heinrich-von-Kleist-Schule, Oberschule","782","","Stadt Lichtenstein/Sa.","13"
"2386","Helmholtzschule - Oberschule der Stadt Leipzig","876","","Stadt Leipzig","14"
"3129","Hoffnungswerk Evangelisches Schulzentrum Evangelische Oberschule Schöneck (Schule in freier Trägerschaft)","6015","OVVIM","Hoffnungswerk Vogtland e. V.","21"
"2974","HOGA Oberschule Dresden (Schule in freier Trägerschaft)","1016","HOGA","HOGA Schulen Dresden gSchulgesellschaft mbH","29"
"1389","Humboldtschule, Oberschule","104","","Stadt Zwickau","15"
"4127","Interkulturelle Waldorfschule Dresden (Schule in freier Trägerschaft)","6168","VIWP","Verein für lnterkulturelle Waldorfpädagogik e. V.","22"
"4196","Internationale Oberschule Geithain (IOG) (Schule in freier Trägerschaft)","1441","SIS","Saxony International School - Carl Hahn gemeinnützige GmbH","29"
"3351","Internationale Oberschule Meerane (Schule in freier Trägerschaft)","1441","SIS","Saxony International School - Carl Hahn gemeinnützige GmbH","29"
"3145","Internationale Oberschule Neukirchen (Schule in freier Trägerschaft)","1441","SIS","Saxony International School - Carl Hahn gemeinnützige GmbH","29"
"3350","Internationale Oberschule Niederwürschnitz (Schule in freier Trägerschaft)","1441","SIS","Saxony International School - Carl Hahn gemeinnützige GmbH","29"
"3345","Internationale Oberschule Reinsdorf (IOR) (Schule in freier Trägerschaft)","1441","SIS","Saxony International School - Carl Hahn gemeinnützige GmbH","29"
"2030","Jakobus-Oberschule","70","","Gemeinde Mülsen","12"
"2984","Jenaplanschule Markersbach Oberschule (Schule in freier Trägerschaft)","1434","TJE","Jenaplanschule im Erzgebirge e. V.","22"
"1951","Johann-Gottlieb-Fichte-Schule, Oberschule","503","","Stadt Mittweida","15"
"1420","Josephinenschule, Oberschule","873","","Stadt Chemnitz","14"
"3724","Karl Schubert Schule Leipzig - Freie Waldorfschule (Schule in freier Trägerschaft)","6098","KSWAL","Karl Schubert Schule Leipzig. Freie Waldorfschule e.V.","20"
"797","Katharina-von-Bora-Oberschule Torgau","221","","Stadt Torgau","15"
"2022","Käthe-Kollwitz-Oberschule","106","","Stadt Crimmitschau","15"
"1371","Kemmlerschule, Oberschule","929","","Stadt Plauen","15"
"843","Klaus-Gottschalk-Schule - Oberschule der Stadt Leipzig","876","","Stadt Leipzig","14"
"3134","KOMPAKT-Schule mit Zukunft - Oberschule Gemeinnützige Schulträgergesellschaft mbH (Schule in freier Trägerschaft)","1092","KOMP","KOMPAKT - Schule mit Zukunft gemeinnützige Schulträgergesellschaft mbH","29"
"4094","Kulturwerkschule - Oberschule (Schule in freier Trägerschaft)","6157","KWSDD","Kulturwerkschule gGmbH","20"
"202","Kurfürst-Moritz-Schule, Oberschule Boxdorf","36","","Gemeinde Moritzburg","12"
"1115","Lehngrundschule, Oberschule","788","","Stadt Glauchau","15"
"2381","Lene-Voigt-Schule - Oberschule der Stadt Leipzig","876","","Stadt Leipzig","14"
"351","Leonhard-Frank-Oberschule","596","","Stadt Coswig","15"
"2292","Lessing-Oberschule Schkeuditz","605","","Stadt Schkeuditz","15"
"2221","Ludwig-Renn-Oberschule Stolpen","285","","Stadt Stolpen","13"
"216","Ludwig-Richter-Schule, Oberschule Radeberg","27","","Stadt Radeberg","15"
"1873","Marianne-Brandt-Oberschule Chemnitz","873","","Stadt Chemnitz","14"
"1928","Marienschule Treuen-Oberschule","1286","","Schulverband Treuener Land","18"
"449","Melanchthonschule Oberschule 3","367","","Stadt Görlitz","15"
"4012","Melli-Beese-Oberschule (Schule in freier Trägerschaft)","1020","SEMPW","Gemeinnützige Gesellschaft Semper Bildungswerk mbH","29"
"3370","Montessorischule Chemnitz - Oberschule (Schule in freier Trägerschaft)","1106","MVC","Montessori-Verein Chemnitz e.V.","22"
"3280","Neue Oberschule Crottendorf (Schule in freier Trägerschaft)","1278","ASG","ASG - Anerkannte Schulgesellschaft mbH","29"
"1481","Oberschule ""Am Flughafen""","873","","Stadt Chemnitz","14"
"4217","Oberschule ""Am Hartmannplatz""","873","","Stadt Chemnitz","14"
"655","Oberschule ""Am Holländer"" Döbeln","721","","Stadt Döbeln","15"
"413","Oberschule ""Am Knöchel"" Sebnitz","283","","Stadt Sebnitz","15"
"1430","Oberschule ""Am Körnerplatz"" Chemnitz","873","","Stadt Chemnitz","14"
"2091","Oberschule ""Am Marienschacht"" Bannewitz","217","","Gemeinde Bannewitz","12"
"47","Oberschule ""Am Merzdorfer Park"" Riesa","390","","Stadt Riesa","15"
"49","Oberschule ""Am Sportzentrum"" Riesa","390","","Stadt Riesa","15"
"1541","Oberschule ""Am Valtenberg""","810","","Gemeinde Neukirch/Lausitz","12"
"1953","Oberschule ""An der Mulde""","497","","Stadt Rochlitz","15"
"2249","Oberschule ""Anne Frank"" Stauchitz","383","","Gemeinde Stauchitz","12"
"2013","Oberschule ""August Bebel""","533","","Stadt Zschopau","15"
"29","Oberschule ""Carl Friedrich Gauß"" Pirna-Sonnenstein","288","","Stadt Pirna","15"
"1853","Oberschule ""Clara Zetkin""","694","","Stadt Freiberg","15"
"1852","Oberschule ""Clemens Winkler""","694","","Stadt Freiberg","15"
"2133","Oberschule ""Dr. Marja Grollmuß""","422","","Gemeinde Schleife","12"
"2027","Oberschule ""Dr. Theodor Neubauer""","83","","Stadt Kirchberg","13"
"1905","Oberschule ""Felix Mauersberger""","890","","Stadt Netzschkau","13"
"2288","Oberschule ""Frederic Joliot Curie"" Pegau","617","","Stadt Pegau","13"
"1927","Oberschule ""Friedrich Rückert""","929","","Stadt Plauen","15"
"2097","Oberschule ""G. E. Lessing"" Freital-Potschappel","202","","Stadt Freital","15"
"1006","Oberschule ""Geschwister Scholl""","925","","Stadt Auerbach/Vogtl.","15"
"2095","Oberschule ""Geschwister Scholl"" Freital-Hainsberg","202","","Stadt Freital","15"
"108","Oberschule ""Geschwister Scholl"" Krauschwitz","439","","Gemeinde Krauschwitz","12"
"1851","Oberschule ""Gottfried Pabst von Ohain""","694","","Stadt Freiberg","15"
"1904","Oberschule ""Gotthold Ephraim Lessing""","887","","Stadt Lengenfeld","13"
"2100","Oberschule ""Hans Poelzig"" Klingenberg","186","","Gemeinde Klingenberg","12"
"1860","Oberschule ""Heinrich von Trebra""","547","","Stadt Marienberg","15"
"945","Oberschule ""Johann Heinrich Pestalozzi""","867","","Stadt Annaberg-Buchholz","15"
"7","Oberschule ""Johann Wolfgang von Goethe""","309","","Stadt Heidenau","13"
"2638","Oberschule ""Johann Wolfgang von Goethe""","288","","Stadt Pirna","15"
"1001","Oberschule ""Katharina Peters"" Zwönitz","254","","Stadt Zwönitz","13"
"2135","Oberschule ""Korla Awgust Kocor"" Wittichenau","5","","Stadt Wittichenau","13"
"2014","Oberschule ""Martin Andersen Nexö""","533","","Stadt Zschopau","15"
"2275","Oberschule ""Maxim Gorki"" Frohburg","652","","Stadt Frohburg","13"
"399","Oberschule ""Moritz Zimmermann"" Rothenburg","421","","Stadt Rothenburg/O.L.","13"
"39","Oberschule ""Siegfried Richter"" Gröditz","401","","Stadt Gröditz","13"
"2096","Oberschule ""Waldblick"" Freital-Niederhäslich","202","","Stadt Freital","15"
"2267","Oberschule ""Werner Seelenbinder"" Bad Lausick","489","","Stadt Bad Lausick","13"
"3703","Oberschule - Freie Werkschule Meißen (Schule in freier Trägerschaft)","1425","FWERK","Miteinander - Freie Werkschule Meißen e. V.","22"
"1890","Oberschule Altendorf","873","","Stadt Chemnitz","14"
"2092","Oberschule am Pfortenberg Dippoldiswalde","210","","Stadt Dippoldiswalde","15"
"1974","Oberschule am Steegenwald","268","","Stadt Lugau/Erzgeb.","13"
"2157","Oberschule an der Elsteraue Kamenz","833","","Landkreis Bautzen","16"
"2203","Oberschule an der Weinau Zittau","318","","Stadt Zittau","15"
"4131","Oberschule Arnsdorf","833","","Landkreis Bautzen","16"
"1961","Oberschule Aue-Zelle","174","ASC","Stadt Aue-Bad Schlema","15"
"1963","Oberschule Auerbach","278","","Gemeinde Auerbach","12"
"682","Oberschule Bad Düben","764","","Stadt Bad Düben","13"
"5","Oberschule Bad Gottleuba","320","","Stadt Bad Gottleuba-Berggießhübel","13"
"2302","Oberschule Beilrode","246","","Gemeinde Beilrode","12"
"3182","Oberschule Bergstadt Schneeberg","150","","Stadt Schneeberg","13"
"1864","Oberschule Bergstadtschule Sayda","669","","Stadt Sayda","13"
"2184","Oberschule Bernstadt ""Klaus Riedel""","369","","Stadt Bernstadt a. d. Eigen","13"
"165","Oberschule Bischofswerda","835","","Stadt Bischofswerda","15"
"2268","Oberschule Böhlen bei Borna","666","","Stadt Böhlen","13"
"1849","Oberschule Brand-Erbisdorf","706","","Stadt Brand-Erbisdorf","15"
"2334","Oberschule Brandis","480","","Stadt Brandis","13"
"1038","Oberschule Claußnitz","523","","Gemeinde Claußnitz","12"
"203","Oberschule Cossebaude","874","","Stadt Dresden","14"
"1317","Oberschule des Friedens","860","","Stadt Ehrenfriedersdorf","13"
"2210","Oberschule Dohna","311","","Stadt Dohna","13"
"3278","Oberschule Dresden-Pieschen","874","","Stadt Dresden","14"
"2235","Oberschule Ebersbach","410","","Gemeinde Ebersbach","12"
"2150","Oberschule Elstra","133","","Stadt Elstra","13"
"1073","Oberschule Flöha-Plaue","697","","Stadt Flöha","15"
"1447","Oberschule Gablenz","873","","Stadt Chemnitz","14"
"2098","Oberschule Geising","216","","Stadt Altenberg","13"
"133","Oberschule Gesundbrunnen","834","","Stadt Bautzen","15"
"4274","Oberschule Göltzschtal (Schule in freier Trägerschaft)","6015","OVVIM","Hoffnungswerk Vogtland e. V.","21"
"2344","Oberschule Grimma","471","","Stadt Grimma","15"
"2277","Oberschule Groitzsch","641","","Stadt Groitzsch","13"
"1964","Oberschule Grünhain-Beierfeld","175","","Stadt Grünhain-Beierfeld","13"
"1856","Oberschule Halsbrücke","688","","Gemeinde Halsbrücke","12"
"4035","Oberschule Hoyerswerda","14","","Stadt Hoyerswerda","15"
"3314","Oberschule im Evangelischen Schulzentrum Muldental (Schule in freier Trägerschaft)","1370","ESZM","Evangelisches Schulzentrum Muldental e.V.","21"
"2341","Oberschule im Lossatal","6109","","Gemeinde Lossatal","12"
"447","Oberschule Innenstadt Görlitz","367","","Stadt Görlitz","15"
"2004","Oberschule Jöhstadt, Eliteschule des Sports","857","","Stadt Jöhstadt","13"
"2280","Oberschule Kitzscher","637","","Stadt Kitzscher","13"
"2214","Oberschule Königstein","302","","Stadt Königstein/Sächs. Schw.","13"
"2233","Oberschule Kötitz","596","","Stadt Coswig","15"
"2106","Oberschule Kötzschenbroda","28","","Stadt Radebeul","15"
"2101","Oberschule Kreischa","189","","Gemeinde Kreischa","12"
"101","Oberschule Lauta","833","","Landkreis Bautzen","16"
"1859","Oberschule Lengefeld","6127","","Stadt Pockau-Lengefeld","13"
"2028","Oberschule Leubnitz","52","","Stadt Werdau","15"
"1035","Oberschule Lichtenau","532","","Gemeinde Lichtenau","12"
"1347","Oberschule Lichtentanne","80","","Gemeinde Lichtentanne","12"
"103","Oberschule Lohsa","833","","Landkreis Bautzen","16"
"2238","Oberschule Lommatzscher Pflege","582","","Stadt Lommatzsch","13"
"987","Oberschule Lößnitz","156","","Stadt Lößnitz","13"
"153","Oberschule Malschwitz","833","","Landkreis Bautzen","16"
"744","Oberschule Markkleeberg","626","","Stadt Markkleeberg","15"
"2283","Oberschule Markranstädt","620","","Stadt Markranstädt","13"
"2401","Oberschule Mockrehna","237","","Gemeinde Mockrehna","12"
